ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur
XX 0 FRIBG 20180111,,,,,,Boraginaceae,,,,Alkanna orientalis (L.) Boiss.,Système 1
XX 0 FRIBG 10000563,,,,,,Brassicaceae,,,,Alliaria petiolata (M. Bieb.) Cavara et Grande,Système 3
XX 0 PORTY 10465,,,,,,Amaryllidaceae,,,,Allium aflatunense B. Fedtsch.,Géophytes
XX 0 M B/0299,,,,,,Amaryllidaceae,,,,Allium altaicum Pall.,Géophytes
XX 0 FRIBG 20150358,,,,,,Amaryllidaceae,,,,Allium ampeloprasum L.,Géophytes
XX 0 FRIBG 10000564,,,,,,Amaryllidaceae,,,,Allium angulosum L.,Zone humide
DE 0 KL 2008/132,,,,,,Amaryllidaceae,,,,Allium angulosum L.,Géophytes
XX 0 FRIBG 19950653,,,,,,Amaryllidaceae,,,,Allium atropurpureum Waldst. et Kit.,Géophytes
AT 0 FRIBG 20030264,,,,,,Amaryllidaceae,,,,Allium carinatum L. subsp. carinatum,Steppe val.
CH 0 FRIBG 19950286,,,,,,Amaryllidaceae,,,,Allium carinatum subsp. pulchellum Bonnier et Layens,Géophytes
NP 0 FRIBG 20030350,,,,,,Amaryllidaceae,,,,Allium carolinianum DC.,Géophytes
,,,,,,Amaryllidaceae,,,14,Allium cepa L. (échalote),Système 4
